id1,id2,weight,community,color
20,3,0.046875,VespA,#1b9e7790
21,52,0.227272727,Rhi,#7570b390
21,53,0.09375,Rhi,#7570b390
21,58,0.052631579,Rhi,#7570b390
21,12,0.172413793,Rhi,#7570b390
22,58,0.285714286,Rhi,#7570b390
22,12,0.117647059,Rhi,#7570b390
23,41,0.038461538,none,#bebebe90
23,57,0.076923077,Rhi,#7570b390
23,52,0.05,Rhi,#7570b390
23,53,0.142857143,Rhi,#7570b390
23,58,0.066666667,Rhi,#7570b390
23,12,0.12,Rhi,#7570b390
24,54,0.007352941,none,#bebebe90
24,57,0.071428571,Rhi,#7570b390
24,52,0.309090909,Rhi,#7570b390
24,53,0.093023256,Rhi,#7570b390
24,58,0.033333333,Rhi,#7570b390
24,12,0.1,Rhi,#7570b390
25,39,0.015384615,none,#bebebe90
25,54,0.004310345,none,#bebebe90
25,40,0.037313433,none,#bebebe90
25,41,0.134969325,none,#bebebe90
25,42,0.243781095,VespB,#d95f0290
25,43,0.101123596,none,#bebebe90
25,55,0.043165468,none,#bebebe90
25,44,0.047619048,none,#bebebe90
25,47,0.008064516,VespB,#d95f0290
25,48,0.013888889,VespB,#d95f0290
25,49,0.024,VespB,#d95f0290
25,51,0.03968254,none,#bebebe90
25,10,0.006451613,none,#bebebe90
25,6,0.024,VespB,#d95f0290
25,14,0.151724138,VespB,#d95f0290
25,11,0.008064516,none,#bebebe90
25,4,0.237113402,VespB,#d95f0290
25,7,0.008,VespB,#d95f0290
25,8,0.010989011,none,#bebebe90
25,16,0.03968254,none,#bebebe90
25,17,0.03968254,none,#bebebe90
25,1,0.02173913,VespB,#d95f0290
26,41,0.018867925,none,#bebebe90
26,55,0.275862069,VespE,#a6761d90
26,54,0.016393443,none,#bebebe90
26,10,0.022222222,none,#bebebe90
27,42,0.012195122,VespB,#d95f0290
27,48,0.04,VespB,#d95f0290
27,4,0.013333333,VespB,#d95f0290
27,14,0.038461538,VespB,#d95f0290
28,39,0.1,VespC,#66a61e90
28,15,0.333333333,VespC,#66a61e90
29,43,0.09375,VespA,#1b9e7790
29,54,0.008474576,none,#bebebe90
29,8,0.088235294,VespA,#1b9e7790
